Key,Company,Ticker,Year,Date,Quarter,M-Score
1115,ADAC LABORATORIES,ADAC,1982,3/31/1982,1982Q1,-2.5606101275195368
1115,ADAC LABORATORIES,ADAC,1982,6/30/1982,1982Q2,-2.553591505205648
1115,ADAC LABORATORIES,ADAC,1982,9/30/1982,1982Q3,-3.4681741835486792
1115,ADAC LABORATORIES,ADAC,1982,12/31/1982,1982Q4,-1.4558512538089134
1115,ADAC LABORATORIES,ADAC,1983,3/31/1983,1983Q1,-2.780614534850251
1115,ADAC LABORATORIES,ADAC,1983,6/30/1983,1983Q2,-2.680163726789518
1115,ADAC LABORATORIES,ADAC,1983,9/30/1983,1983Q3,-2.1593537882659435
1115,ADAC LABORATORIES,ADAC,1983,12/31/1983,1983Q4,-3.033544466884835
1115,ADAC LABORATORIES,ADAC,1984,3/31/1984,1984Q1,-2.81031635869767
1115,ADAC LABORATORIES,ADAC,1984,6/30/1984,1984Q2,-2.81031635869767
1115,ADAC LABORATORIES,ADAC,1984,9/30/1984,1984Q3,-2.7553528276266666
1115,ADAC LABORATORIES,ADAC,1984,12/31/1984,1984Q4,-3.842451761756387
1115,ADAC LABORATORIES,ADAC,1985,3/31/1985,1985Q1,-2.7144526181559816
1115,ADAC LABORATORIES,ADAC,1985,6/30/1985,1985Q2,-2.7144526181559816
1115,ADAC LABORATORIES,ADAC,1985,9/30/1985,1985Q3,-2.7144526181559816
1115,ADAC LABORATORIES,ADAC,1985,12/31/1985,1985Q4,-2.7144526181559816
1115,ADAC LABORATORIES,ADAC,1986,3/31/1986,1986Q1,-2.7144526181559816
1115,ADAC LABORATORIES,ADAC,1986,6/30/1986,1986Q2,-2.7144526181559816
1115,ADAC LABORATORIES,ADAC,1986,9/30/1986,1986Q3,-3.337769405904756
1115,ADAC LABORATORIES,ADAC,1986,12/31/1986,1986Q4,-3.337769405904756
1115,ADAC LABORATORIES,ADAC,1987,3/31/1987,1987Q1,-3.305501378533453
1115,ADAC LABORATORIES,ADAC,1987,6/30/1987,1987Q2,-3.305501378533453
1115,ADAC LABORATORIES,ADAC,1987,9/30/1987,1987Q3,-3.305501378533453
1115,ADAC LABORATORIES,ADAC,1987,12/31/1987,1987Q4,-2.3804377031148767
1115,ADAC LABORATORIES,ADAC,1988,3/31/1988,1988Q1,-2.496437987380045
1115,ADAC LABORATORIES,ADAC,1988,6/30/1988,1988Q2,-2.3900139424574505
1115,ADAC LABORATORIES,ADAC,1988,9/30/1988,1988Q3,-2.810295554142786
1115,ADAC LABORATORIES,ADAC,1988,12/31/1988,1988Q4,-2.257853601257117
1115,ADAC LABORATORIES,ADAC,1989,3/31/1989,1989Q1,-2.1798980951503184
1115,ADAC LABORATORIES,ADAC,1989,6/30/1989,1989Q2,-2.639835803317384
1115,ADAC LABORATORIES,ADAC,1989,9/30/1989,1989Q3,-3.038312086398072
1115,ADAC LABORATORIES,ADAC,1989,12/31/1989,1989Q4,-2.583120661413584
1115,ADAC LABORATORIES,ADAC,1990,3/31/1990,1990Q1,-2.753882674729977
1115,ADAC LABORATORIES,ADAC,1990,6/30/1990,1990Q2,-2.8325772332790056
1115,ADAC LABORATORIES,ADAC,1990,9/30/1990,1990Q3,-3.180832522851451
1115,ADAC LABORATORIES,ADAC,1990,12/31/1990,1990Q4,-2.15224265931556
1115,ADAC LABORATORIES,ADAC,1991,3/31/1991,1991Q1,-2.319459559848799
1115,ADAC LABORATORIES,ADAC,1991,6/30/1991,1991Q2,-2.2043364198165563
1115,ADAC LABORATORIES,ADAC,1991,9/30/1991,1991Q3,-2.6730879865779524
1115,ADAC LABORATORIES,ADAC,1991,12/31/1991,1991Q4,-2.1863648652087484
1115,ADAC LABORATORIES,ADAC,1992,3/31/1992,1992Q1,-2.965309967391524
1115,ADAC LABORATORIES,ADAC,1992,6/30/1992,1992Q2,-1.7790770728725198
1115,ADAC LABORATORIES,ADAC,1992,9/30/1992,1992Q3,-3.1186721905705777
1115,ADAC LABORATORIES,ADAC,1992,12/31/1992,1992Q4,-1.67023557141525
1115,ADAC LABORATORIES,ADACD,1993,3/31/1993,1993Q1,-2.1142649000441645
1115,ADAC LABORATORIES,ADAC,1993,6/30/1993,1993Q2,-2.1826520438565105
1115,ADAC LABORATORIES,ADAC,1993,9/30/1993,1993Q3,-2.4757116061527795
1115,ADAC LABORATORIES,ADAC,1993,12/31/1993,1993Q4,-2.371173351161437
1115,ADAC LABORATORIES,ADAC,1994,3/31/1994,1994Q1,-2.3645069846880733
1115,ADAC LABORATORIES,ADAC,1994,6/30/1994,1994Q2,-2.618188602535921
1115,ADAC LABORATORIES,ADAC,1994,9/30/1994,1994Q3,-2.439437826281864
1115,ADAC LABORATORIES,ADAC,1994,12/31/1994,1994Q4,-2.389354536786509
1115,ADAC LABORATORIES,ADAC,1995,3/31/1995,1995Q1,-2.46506978167478
1115,ADAC LABORATORIES,ADAC,1995,6/30/1995,1995Q2,-2.4350412412383804
1115,ADAC LABORATORIES,ADAC,1995,9/30/1995,1995Q3,-2.371518244188411
1115,ADAC LABORATORIES,ADAC,1995,12/31/1995,1995Q4,-1.193614280654394
1115,ADAC LABORATORIES,ADAC,1996,3/31/1996,1996Q1,-2.2350998626665994
1115,ADAC LABORATORIES,ADAC,1996,6/30/1996,1996Q2,-2.368033298411388
1115,ADAC LABORATORIES,ADAC,1996,9/30/1996,1996Q3,-2.183284934759114
1115,ADAC LABORATORIES,ADAC,1996,12/31/1996,1996Q4,-2.35687323392429
1115,ADAC LABORATORIES,ADAC,1997,3/31/1997,1997Q1,-2.4006564174407896
