DATE,sp500 return,sp500 return trend,sp500 velocity,sp500 acceleration,Quarter
1975-03-31,-0.005843769,0.0028865313833333333,-4.79810527777777e-05,-0.00012078946944444442,1975Q1
1975-06-30,0.004008016,-3.265391666666667e-05,-2.5889886111111132e-05,3.714946527777778e-05,1975Q2
1975-09-30,-0.013642244,-2.090192777777779e-05,-6.398619722222219e-05,2.1042986111111102e-05,1975Q3
1975-12-31,0.004678623,0.0011198616255555555,3.645495000000011e-05,3.1364783333333345e-05,1975Q4
1976-03-31,0.00745025,5.645654888888885e-05,-3.5457572222222266e-05,7.776888888888888e-06,1976Q1
1976-06-30,0.004043905,0.00021742837111111106,5.34747583333333e-05,-3.546016805555553e-05,1976Q2
1976-09-30,-0.001233748,1.1686311111111058e-05,0.00010084996666666669,-2.5615677222222248e-05,1976Q3
1976-12-31,0.005426647,9.003278555555556e-05,-7.612785000000002e-05,-6.191836388888888e-05,1976Q4
1977-03-31,-0.00121778,-0.0005696912122222222,7.611660277777782e-05,5.2570930555555375e-06,1977Q1
1977-06-30,0.003695934,1.9433132222222065e-05,-1.3152261111111112e-05,-5.0007533333333305e-05,1977Q2
1977-09-30,0.007094418,-0.0004707901777777778,-3.147082499999998e-05,-9.916645833333331e-05,1977Q3
1977-12-30,0.001685275,-0.0005288141833333334,-4.399326111111107e-05,-1.7265927777777813e-05,1977Q4
1978-03-31,-0.002236886,0.001172921588888889,0.0001514307972222224,-4.4561527777785053e-07,1978Q1
1978-06-30,-0.000418541,0.00088228907,9.935401666666676e-05,-5.849000000000018e-06,1978Q2
1978-09-29,0.005688505,-0.0003097292866666669,1.9422886111111087e-05,-1.6426856944444423e-05,1978Q3
1978-12-29,-0.001765683,0.00010668679999999999,0.00010295526666666665,4.113958194444441e-05,1978Q4
1979-03-30,-0.004312457,-5.856389444444459e-05,3.2317002777777746e-05,3.4448916666667207e-06,1979Q1
1979-06-29,0.001070039,0.0006619462055555555,-9.066192500000006e-05,-5.625368055555557e-06,1979Q2
1979-09-28,-0.008075492,0.00034175639444444436,-4.029181666666669e-05,8.232361388888892e-05,1979Q3
1979-12-31,0.0009273,0.0012662811611111112,-0.0001322830777777779,-9.636355833333331e-05,1979Q4
1980-03-31,0.014004768,-0.00014429513333333343,7.120759166666671e-05,3.114831388888895e-05,1980Q1
1980-06-30,-0.015172414,0.0019885134999999996,5.147365277777781e-05,-4.905379444444428e-05,1980Q2
1980-09-30,0.015541525,0.0013909055788888889,-9.353586111111119e-05,-0.00012249346388888883,1980Q3
1980-12-31,0.003177418,6.833125555555532e-05,8.274918055555555e-05,2.7540822222222278e-05,1980Q4
1981-03-31,0.012809056,0.00010010454555555538,2.9158244444444484e-05,1.2405519444444442e-05,1981Q1
1981-06-30,-0.005155812,-0.00100818433,-3.946850833333335e-05,4.851033333333379e-06,1981Q2
1981-09-30,0.002070036,-0.00035551142222222244,1.4342991666666622e-05,8.047044305555559e-05,1981Q3
1981-12-31,0.002044154,-0.0009711124333333333,-0.00012326219722222235,5.106455138888892e-05,1981Q4
1982-03-31,-0.002761201,-0.0003852599433333333,-8.05394944444444e-05,-5.354588055555556e-05,1982Q1
1982-06-30,-0.005444152,0.00011516030888888897,0.00018311118333333334,0.00011054925138888891,1982Q2
1982-09-30,-0.009948204,0.0028384396533333335,0.00016846008805555574,4.204118944444444e-05,1982Q3
1982-12-31,0.002209079,0.0015257873644444443,-6.264153611111123e-05,-4.048040416666657e-05,1982Q4
1983-03-31,-0.002803312,0.0017064229477777777,-9.408090555555564e-05,-0.00012444377222222216,1983Q1
1983-06-30,0.008821411,0.00023882023444444437,6.076747222222181e-06,3.658043055555561e-05,1983Q2
1983-09-30,-0.006936554,-2.075539777777777e-05,0.00015981374444444443,2.332957222222218e-05,1983Q3
1983-12-30,0.000424603,-0.0005843936777777776,-7.370779444444437e-05,1.985798055555549e-05,1983Q4
1984-03-30,-0.002131394,-0.0007037765966666667,6.339875555555561e-05,-1.6236519444444365e-05,1984Q1
1984-06-29,0.002224549,0.0004679089011111111,-0.00012946805555555567,3.153595972222224e-05,1984Q2
1984-09-28,-0.005150934,0.0010136269522222222,-0.00010803440555555552,1.0691995833333285e-05,1984Q3
1984-12-31,0.005894382,0.0009654850833333334,-1.8324388888888874e-05,6.483220833333335e-06,1984Q4
1985-03-29,0.006238164,0.0007849134000000001,-8.713972222222904e-07,1.872180277777779e-05,1985Q1
1985-06-28,0.003242169,0.0003420657277777777,-5.6136391666666716e-05,4.057090972222222e-05,1985Q2
1985-09-30,0.004302261,0.000497208248888889,5.782617500000003e-05,0.00010822784027777782,1985Q3
1985-12-31,0.002847921,0.002012473361111111,5.8492391666666705e-05,3.209972222222219e-06,1985Q4
1986-03-31,-0.000292924,0.0020922091500000005,-5.240039999999989e-05,-5.735466944444456e-05,1986Q1
