Quarter,Avg. M-Score,Weighted_M,Count,average M trend,average WM trend,average M velocity,average M acceleration,average WM velocity,average WM acceleration
1977Q3,-2.892064025,-3.602708512,58,-2.908746081,-2.908746081,0.006075546,-0.015327598,0.006075546,-0.015327598
1977Q4,-2.905239586,-3.580334425,58,-2.853262806,-2.853262806,0.033571102,0.005197271,0.033571102,0.005197271
1978Q1,-2.762484806,-3.393768271,58,-2.841603878,-2.841603878,0.016470087,-0.022012148,0.016470087,-0.022012148
1978Q2,-2.857087241,-3.376276089,58,-2.820322632,-2.820322632,-0.010453194,0.009112136,-0.010453194,0.009112136
1978Q3,-2.841395847,-3.284902105,58,-2.862510267,-2.862510267,0.034694358,0.049223147,0.034694358,0.049223147
1978Q4,-2.889047712,-3.366238962,58,-2.750933915,-2.750933915,0.087993099,0.016375869,0.087993099,0.016375869
1979Q1,-2.522358185,-3.235761377,60,-2.686524068,-2.686524068,0.067446096,-0.034955196,0.067446096,-0.034955196
1979Q2,-2.648166308,-3.300921993,60,-2.616041722,-2.616041722,0.018082707,-0.032153516,0.018082707,-0.032153516
1979Q3,-2.677600675,-3.188264891,60,-2.650358655,-2.650358655,0.003139064,0.025449881,0.003139064,0.025449881
1979Q4,-2.625308982,-3.065882435,62,-2.609763594,-2.609763594,0.068982468,0.058509023,0.068982468,0.058509023
1980Q1,-2.526381124,-3.119041981,61,-2.512393718,-2.512393718,0.120157111,0.013907571,0.120157111,0.013907571
1980Q2,-2.385491049,-3.031384407,62,-2.369449372,-2.369449372,0.09679761,-0.058364293,0.09679761,-0.058364293
1980Q3,-2.196475943,-2.844534203,65,-2.318798498,-2.318798498,0.003428525,-0.078973131,0.003428525,-0.078973131
1980Q4,-2.374428503,-2.958781787,66,-2.362592322,-2.362592322,-0.061148651,-0.03451016,-0.061148651,-0.03451016
1981Q1,-2.516872519,-3.007695402,69,-2.4410958,-2.4410958,-0.065591796,0.008598492,-0.065591796,0.008598492
1981Q2,-2.431986379,-3.00987299,111,-2.493775913,-2.493775913,-0.043951667,0.016559115,-0.043951667,0.016559115
1981Q3,-2.532468839,-3.056841355,122,-2.528999134,-2.528999134,-0.032473566,0.018957133,-0.032473566,0.018957133
1981Q4,-2.622542183,-2.997012926,131,-2.558723044,-2.558723044,-0.006037401,0.024333533,-0.006037401,0.024333533
1982Q1,-2.521158108,-3.031524816,139,-2.541073935,-2.541073935,0.016193501,-0.002024134,0.016193501,-0.002024134
1982Q2,-2.479521513,-2.987054893,143,-2.526336041,-2.526336041,-0.010085669,-0.01617789,-0.010085669,-0.01617789
1982Q3,-2.578328503,-3.052200698,145,-2.561245272,-2.561245272,-0.016162279,0.013898977,-0.016162279,0.013898977
1982Q4,-2.625885801,-3.042827641,148,-2.558660599,-2.558660599,0.017712285,0.033910237,0.017712285,0.033910237
1983Q1,-2.471767494,-2.841273051,149,-2.525820702,-2.525820702,0.051658196,-0.000673123,0.051658196,-0.000673123
1983Q2,-2.479808813,-2.952432112,156,-2.455344208,-2.455344208,0.016366039,-0.033039846,0.016366039,-0.033039846
1983Q3,-2.414456317,-2.927088654,156,-2.493088625,-2.493088625,-0.014421496,-0.012143898,-0.014421496,-0.012143898
1983Q4,-2.585000746,-2.714265934,159,-2.484187199,-2.484187199,-0.007921757,0.006941673,-0.007921757,0.006941673
1984Q1,-2.453104534,-2.852814257,161,-2.508932139,-2.508932139,-0.000538149,0.009742951,-0.000538149,0.009742951
1984Q2,-2.488691138,-2.851966748,169,-2.485263498,-2.485263498,0.011564145,0.004552662,0.011564145,0.004552662
1984Q3,-2.513994821,-2.770894019,172,-2.485803849,-2.485803849,0.008567174,0.013363838,0.008567174,0.013363838
1984Q4,-2.454725589,-2.839044377,180,-2.46812915,-2.46812915,0.038291822,0.005522199,0.038291822,0.005522199
1985Q1,-2.435667039,-2.885378791,182,-2.409220205,-2.409220205,0.019611572,-0.025743988,0.019611572,-0.025743988
1985Q2,-2.337267988,-2.821664709,196,-2.428906006,-2.428906006,-0.013196155,-0.007494335,-0.013196155,-0.007494335
1985Q3,-2.51378299,-2.840889822,200,-2.435612515,-2.435612515,0.004622903,0.018054145,0.004622903,0.018054145
1985Q4,-2.455786566,-2.849476643,209,-2.419660201,-2.419660201,0.022912136,0.019207504,0.022912136,0.019207504
1986Q1,-2.289411046,-2.891773147,216,-2.389788243,-2.389788243,0.04303791,0.011160442,0.04303791,0.011160442
1986Q2,-2.424167119,-2.813614432,227,-2.33358438,-2.33358438,0.045233021,0.011357902,0.045233021,0.011357902
1986Q3,-2.287174976,-2.757753523,232,-2.299322202,-2.299322202,0.065753713,0.008033132,0.065753713,0.008033132
1986Q4,-2.186624511,-2.593189622,232,-2.202076954,-2.202076954,0.061299285,-0.032827193,0.061299285,-0.032827193
1987Q1,-2.132431374,-2.726967683,233,-2.176723633,-2.176723633,9.93E-05,-0.049299436,9.93E-05,-0.049299436
1987Q2,-2.211115014,-2.64764333,239,-2.2018783,-2.2018783,-0.037299587,-0.01955401,-0.037299587,-0.01955401
1987Q3,-2.262088512,-2.799845167,241,-2.251322806,-2.251322806,-0.039008692,0.014395944,-0.039008692,0.014395944
1987Q4,-2.280764893,-2.711403397,246,-2.279895684,-2.279895684,-0.008507698,0.012275818,-0.008507698,0.012275818
1988Q1,-2.296833647,-2.909886578,248,-2.268338203,-2.268338203,-0.014457057,-0.014146912,-0.014457057,-0.014146912
1988Q2,-2.227416068,-2.846761115,252,-2.308809798,-2.308809798,-0.036801523,-0.010386543,-0.036801523,-0.010386543
1988Q3,-2.402179679,-2.824153565,253,-2.341941248,-2.341941248,-0.035230143,0.025266364,-0.035230143,0.025266364
1988Q4,-2.396227997,-2.733757504,259,-2.379270084,-2.379270084,0.013731205,0.042187833,0.013731205,0.042187833
1989Q1,-2.339402576,-2.561522448,260,-2.314478837,-2.314478837,0.049145522,0.00025495,0.049145522,0.00025495
1989Q2,-2.207805939,-2.52350447,269,-2.28097904,-2.28097904,0.014241104,-0.035830103,0.014241104,-0.035830103
1989Q3,-2.295728604,-2.731931533,260,-2.285996629,-2.285996629,-0.022514684,-0.018526036,-0.022514684,-0.018526036
1989Q4,-2.354455344,-2.879538516,258,-2.326008407,-2.326008407,-0.022810968,0.005042265,-0.022810968,0.005042265
1990Q1,-2.327841273,-2.497387371,256,-2.331618565,-2.331618565,-0.012430153,-0.008696406,-0.012430153,-0.008696406
1990Q2,-2.312559079,-2.651196549,264,-2.350868713,-2.350868713,-0.040203781,-0.013075755,-0.040203781,-0.013075755
1990Q3,-2.412205787,-2.76551607,263,-2.412026127,-2.412026127,-0.038581663,0.019513498,-0.038581663,0.019513498
1990Q4,-2.511313515,-2.821043265,265,-2.428032039,-2.428032039,-0.001176784,0.036441892,-0.001176784,0.036441892
1991Q1,-2.360576815,-2.640309527,263,-2.414379695,-2.414379695,0.034302122,0.003411994,0.034302122,0.003411994
1991Q2,-2.371248754,-2.814553151,283,-2.359427795,-2.359427795,0.005647204,-0.022517654,0.005647204,-0.022517654
1991Q3,-2.346457817,-2.851703423,288,-2.403085286,-2.403085286,-0.010733186,0.012729694,-0.010733186,0.012729694
1991Q4,-2.491549286,-2.936709435,288,-2.380894167,-2.380894167,0.031106592,0.027958097,0.031106592,0.027958097
1992Q1,-2.304675397,-2.677556693,287,-2.340872103,-2.340872103,0.045183008,-0.005022856,0.045183008,-0.005022856
1992Q2,-2.226391625,-2.653645842,309,-2.29052815,-2.29052815,0.021060879,-0.017010862,0.021060879,-0.017010862
1992Q3,-2.340517429,-2.7011971,311,-2.298750344,-2.298750344,0.011161284,0.003957306,0.011161284,0.003957306
1992Q4,-2.329341979,-3.132543818,313,-2.268205582,-2.268205582,0.028975491,0.0019849,0.028975491,0.0019849
1993Q1,-2.134757338,-2.759528421,311,-2.240799363,-2.240799363,0.015131085,-0.036180533,0.015131085,-0.036180533
1993Q2,-2.258298773,-2.739367867,322,-2.237943413,-2.237943413,-0.043385575,-0.040716627,-0.043385575,-0.040716627
1993Q3,-2.320774127,-2.751969865,319,-2.327570514,-2.327570514,-0.06630217,0.010118549,-0.06630217,0.010118549
1993Q4,-2.403638641,-3.040452913,321,-2.370547753,-2.370547753,-0.023148477,0.036855522,-0.023148477,0.036855522
1994Q1,-2.38723049,-2.765658235,321,-2.373867469,-2.373867469,0.007408875,0.004882842,0.007408875,0.004882842
1994Q2,-2.330733274,-2.63878349,345,-2.355730004,-2.355730004,-0.013382793,-0.006974153,-0.013382793,-0.006974153
1994Q3,-2.349226246,-2.86198319,342,-2.400633055,-2.400633055,-0.006539431,0.022780944,-0.006539431,0.022780944
1994Q4,-2.521939645,-2.94057371,343,-2.368808865,-2.368808865,0.032179095,0.028027441,0.032179095,0.028027441
1995Q1,-2.235260705,-2.13536152,349,-2.336274865,-2.336274865,0.049515451,-0.011585842,0.049515451,-0.011585842
1995Q2,-2.251624244,-2.643714193,376,-2.269777964,-2.269777964,0.00900741,-0.03039284,0.00900741,-0.03039284
1995Q3,-2.322448941,-2.630082349,377,-2.318260044,-2.318260044,-0.01127023,0.011520043,-0.01127023,0.011520043
1995Q4,-2.380706946,-3.004599596,384,-2.292318423,-2.292318423,0.032047497,0.017943699,0.032047497,0.017943699
1996Q1,-2.173799381,-2.48797388,395,-2.254165049,-2.254165049,0.024617169,-0.026699812,0.024617169,-0.026699812
1996Q2,-2.207988821,-2.767723414,417,-2.243084085,-2.243084085,-0.021352127,-0.023472336,-0.021352127,-0.023472336
1996Q3,-2.347464054,-2.763446849,411,-2.296869303,-2.296869303,-0.022327504,0.019589957,-0.022327504,0.019589957
1996Q4,-2.335155033,-3.041039612,416,-2.287739094,-2.287739094,0.017827788,0.021633575,0.017827788,0.021633575
1997Q1,-2.180598194,-2.59337921,414,-2.261213726,-2.261213726,0.020939645,-0.014080636,0.020939645,-0.014080636
1997Q2,-2.267887952,-2.74957999,417,-2.245859803,-2.245859803,-0.010333483,-0.011651605,-0.010333483,-0.011651605
1997Q3,-2.289093264,-2.911663571,408,-2.281880693,-2.281880693,-0.002363565,0.022352444,-0.002363565,0.022352444
1997Q4,-2.288660863,-2.981978621,418,-2.250586933,-2.250586933,0.034371404,0.016335838,0.034371404,0.016335838
1998Q1,-2.174006674,-2.605504257,417,-2.213137884,-2.213137884,0.030308111,-0.010944348,0.030308111,-0.010944348
1998Q2,-2.176746116,-2.699008484,456,-2.189970711,-2.189970711,0.012482709,-0.017370634,0.012482709,-0.017370634
1998Q3,-2.219159345,-2.552569575,452,-2.188172466,-2.188172466,-0.004433158,-0.003019063,-0.004433158,-0.003019063
1998Q4,-2.168611937,-2.654320465,456,-2.198837026,-2.198837026,0.006444583,0.007823758,0.006444583,0.007823758
1999Q1,-2.208739797,-2.726365965,458,-2.175283301,-2.175283301,0.011214359,-0.003133432,0.011214359,-0.003133432
1999Q2,-2.148498168,-2.620023927,492,-2.176408308,-2.176408308,0.000177718,-0.005895987,0.000177718,-0.005895987
1999Q3,-2.171986959,-2.561537358,477,-2.174927864,-2.174927864,-0.000577616,-0.004497725,-0.000577616,-0.004497725
1999Q4,-2.204298466,-2.662205815,476,-2.177563539,-2.177563539,-0.008817732,-0.003004291,-0.008817732,-0.003004291
2000Q1,-2.156405194,-2.49340265,464,-2.192563329,-2.192563329,-0.006586197,-0.005929466,-0.006586197,-0.005929466
2000Q2,-2.216986327,-2.707322531,481,-2.190735933,-2.190735933,-0.020676664,-0.007627596,-0.020676664,-0.007627596
2000Q3,-2.198816278,-2.294647268,466,-2.233916657,-2.233916657,-0.02184139,0.001816189,-0.02184139,0.001816189
2000Q4,-2.285947368,-2.925714047,450,-2.234418712,-2.234418712,-0.017044287,-0.003534016,-0.017044287,-0.003534016
2001Q1,-2.218492491,-2.753282033,447,-2.268005231,-2.268005231,-0.028909422,-0.012685694,-0.028909422,-0.012685694
2001Q2,-2.299575835,-2.822579465,441,-2.292237555,-2.292237555,-0.042415675,-0.003077076,-0.042415675,-0.003077076
2001Q3,-2.358644341,-2.784644273,427,-2.352836581,-2.352836581,-0.035063573,0.023011184,-0.035063573,0.023011184
2001Q4,-2.400289568,-2.906313791,422,-2.362364701,-2.362364701,0.003606693,0.021284423,0.003606693,0.021284423
2002Q1,-2.328160196,-2.574833494,418,-2.345623194,-2.345623194,0.007505274,0.003988326,0.007505274,0.003988326
2002Q2,-2.30841982,-2.783834116,425,-2.347354153,-2.347354153,0.011583346,0.015171967,0.011583346,0.015171967
2002Q3,-2.405482444,-2.796485749,405,-2.322456503,-2.322456503,0.037849207,0.015044273,0.037849207,0.015044273
2002Q4,-2.253467246,-2.886411728,401,-2.271655739,-2.271655739,0.041671892,-0.019833639,0.041671892,-0.019833639
2003Q1,-2.156017526,-2.727207616,401,-2.239112719,-2.239112719,-0.001818072,-0.044357787,-0.001818072,-0.044357787
2003Q2,-2.307853385,-2.632015238,410,-2.275291882,-2.275291882,-0.047043681,-0.005981298,-0.047043681,-0.005981298
2003Q3,-2.362004735,-2.750976806,396,-2.333200081,-2.333200081,-0.013780668,0.042610358,-0.013780668,0.042610358
2003Q4,-2.329742125,-2.848231165,398,-2.302853219,-2.302853219,0.038177035,0.025167746,0.038177035,0.025167746
2004Q1,-2.216812796,-2.614827309,379,-2.256846012,-2.256846012,0.036554824,-0.027470553,0.036554824,-0.027470553
2004Q2,-2.223983115,-2.769820541,392,-2.229743571,-2.229743571,-0.016764071,-0.03894688,-0.016764071,-0.03894688
2004Q3,-2.248434803,-2.736821652,386,-2.290374153,-2.290374153,-0.041338936,-0.009189846,-0.041338936,-0.009189846
2004Q4,-2.398704543,-2.819018117,381,-2.312421443,-2.312421443,-0.035143762,0.011768314,-0.035143762,0.011768314
2005Q1,-2.290124983,-2.718942754,381,-2.360661678,-2.360661678,-0.017802308,0.010774406,-0.017802308,0.010774406
2005Q2,-2.393155508,-2.731519591,387,-2.348026059,-2.348026059,-0.013594951,0.007168846,-0.013594951,0.007168846
2005Q3,-2.360797685,-2.832480242,381,-2.38785158,-2.38785158,-0.003464616,0.0170476,-0.003464616,0.0170476
