Quarter,GDPC1,Gdpc1_shift,GDP_Diff,Recession_Sign,Recession_start,Second_Quarter,Third_Quarter,Recession_1,recession_end_1,Recession_2,Forth_Quarter,Fifth_Quarter,Sixth_Quarter,Final_Recession
1977Q2,6313.559,,,,0,,,0,1,0,0,0,0,0
1977Q3,6313.697,6313.559,0.13799999999991996,1,0,0,,0,1,0,0,0,0,0
1977Q4,6333.848,6313.697,20.15099999999984,1,0,0,0,0,1,0,0,0,0,0
1978Q1,6578.605,6333.848,244.7569999999996,1,0,0,0,0,0,0,0,0,0,0
1978Q2,6644.754,6578.605,66.14900000000034,1,0,0,0,0,0,0,0,0,0,0
1978Q3,6734.069,6644.754,89.31500000000051,1,0,0,0,0,0,0,0,0,0,0
1978Q4,6746.176,6734.069,12.106999999999971,1,0,0,0,0,0,0,0,0,0,0
1979Q1,6753.389,6746.176,7.212999999999738,1,0,0,0,0,0,0,0,0,0,0
1979Q2,6803.558,6753.389,50.16899999999987,1,0,0,0,0,0,0,0,0,0,0
1979Q3,6820.572,6803.558,17.014000000000124,1,0,0,0,0,0,0,0,0,0,0
1979Q4,6842.024,6820.572,21.452000000000226,1,0,0,0,0,0,0,0,0,0,0
1980Q1,6701.046,6842.024,-140.978,-1,0,0,0,0,0,0,0,0,0,0
1980Q2,6693.082,6701.046,-7.964,-1,1,0,0,1,1,1,0,0,0,1
1980Q3,6817.903,6693.082,124.82099999999991,1,0,1,0,1,1,1,1,0,0,1
1980Q4,6951.495,6817.903,133.59199999999964,1,0,0,1,1,1,1,1,1,0,1
1981Q1,6899.98,6951.495,-51.515,-1,0,0,0,0,0,0,0,0,0,0
1981Q2,6982.609,6899.98,82.62900000000081,1,0,0,0,0,1,0,0,0,0,0
1981Q3,6906.529,6982.609,-76.08,-1,0,0,0,0,1,0,0,0,0,0
1981Q4,6799.233,6906.529,-107.296,-1,1,0,0,1,1,1,0,0,0,1
1982Q1,6830.251,6799.233,31.01800000000003,1,0,1,0,1,1,1,1,0,0,1
1982Q2,6804.139,6830.251,-26.112,-1,0,0,1,1,1,1,1,1,0,1
1982Q3,6806.857,6804.139,2.717999999999847,1,0,0,0,0,1,0,1,1,1,1
1982Q4,6896.561,6806.857,89.70399999999972,1,0,0,0,0,1,0,0,1,1,1
1983Q1,7053.5,6896.561,156.9390000000003,1,0,0,0,0,0,0,0,0,0,0
1983Q2,7194.504,7053.5,141.0039999999999,1,0,0,0,0,0,0,0,0,0,0
1983Q3,7344.597,7194.504,150.09299999999985,1,0,0,0,0,0,0,0,0,0,0
1983Q4,7488.167,7344.597,143.57000000000062,1,0,0,0,0,0,0,0,0,0,0
1984Q1,7617.547,7488.167,129.3799999999992,1,0,0,0,0,0,0,0,0,0,0
1984Q2,7690.985,7617.547,73.438,1,0,0,0,0,0,0,0,0,0,0
1984Q3,7754.117,7690.985,63.13200000000052,1,0,0,0,0,0,0,0,0,0,0
1984Q4,7829.26,7754.117,75.14300000000003,1,0,0,0,0,0,0,0,0,0,0
1985Q1,7898.194,7829.26,68.934,1,0,0,0,0,0,0,0,0,0,0
1985Q2,8018.809,7898.194,120.61499999999978,1,0,0,0,0,0,0,0,0,0,0
1985Q3,8078.415,8018.809,59.60599999999977,1,0,0,0,0,0,0,0,0,0,0
1985Q4,8153.829,8078.415,75.41399999999976,1,0,0,0,0,0,0,0,0,0,0
1986Q1,8190.552,8153.829,36.722999999999956,1,0,0,0,0,0,0,0,0,0,0
1986Q2,8268.935,8190.552,78.38299999999981,1,0,0,0,0,0,0,0,0,0,0
1986Q3,8313.338,8268.935,44.40300000000025,1,0,0,0,0,0,0,0,0,0,0
1986Q4,8375.274,8313.338,61.935999999999694,1,0,0,0,0,0,0,0,0,0,0
1987Q1,8465.63,8375.274,90.35599999999977,1,0,0,0,0,0,0,0,0,0,0
1987Q2,8539.075,8465.63,73.44500000000153,1,0,0,0,0,0,0,0,0,0,0
1987Q3,8685.694,8539.075,146.61899999999878,1,0,0,0,0,0,0,0,0,0,0
1987Q4,8730.569,8685.694,44.875,1,0,0,0,0,0,0,0,0,0,0
1988Q1,8845.28,8730.569,114.71100000000115,1,0,0,0,0,0,0,0,0,0,0
1988Q2,8897.107,8845.28,51.826999999999316,1,0,0,0,0,0,0,0,0,0,0
1988Q3,9015.661,8897.107,118.55400000000009,1,0,0,0,0,0,0,0,0,0,0
1988Q4,9107.314,9015.661,91.65300000000025,1,0,0,0,0,0,0,0,0,0,0
1989Q1,9176.827,9107.314,69.51299999999901,1,0,0,0,0,0,0,0,0,0,0
1989Q2,9244.816,9176.827,67.989,1,0,0,0,0,0,0,0,0,0,0
1989Q3,9263.033,9244.816,18.216999999998734,1,0,0,0,0,0,0,0,0,0,0
1989Q4,9364.259,9263.033,101.22600000000057,1,0,0,0,0,0,0,0,0,0,0
1990Q1,9398.243,9364.259,33.98400000000038,1,0,0,0,0,0,0,0,0,0,0
1990Q2,9404.494,9398.243,6.251000000000204,1,0,0,0,0,0,0,0,0,0,0
1990Q3,9318.876,9404.494,-85.618,-1,0,0,0,0,0,0,0,0,0,0
1990Q4,9275.276,9318.876,-43.6,-1,1,0,0,1,1,1,0,0,0,1
1991Q1,9347.597,9275.276,72.32099999999991,1,0,1,0,1,1,1,1,0,0,1
1991Q2,9394.834,9347.597,47.23700000000099,1,0,0,1,1,1,1,1,1,0,1
1991Q3,9427.581,9394.834,32.74699999999939,1,0,0,0,0,0,0,0,0,0,0
1991Q4,9540.444,9427.581,112.86299999999937,1,0,0,0,0,0,0,0,0,0,0
1992Q1,9643.893,9540.444,103.44900000000052,1,0,0,0,0,0,0,0,0,0,0
1992Q2,9739.185,9643.893,95.29199999999946,1,0,0,0,0,0,0,0,0,0,0
1992Q3,9840.753,9739.185,101.56800000000112,1,0,0,0,0,0,0,0,0,0,0
