Quarter,GDPC1,Gdpc1_shift,GDP_Diff,Recession_Sign,Recession_start,Second_Quarter,Third_Quarter,Recession_1,recession_end_1,Recession_2,Forth_Quarter,Fifth_Quarter,Sixth_Quarter,Final_Recession
2000Q2,13230.95224161752,,,,0,,,0,1,0,0,0,0,0
2000Q3,13314.797655691355,13230.95224161752,83.84541407383404,1.0,0,0.0,,0,1,0,0,0,0,0
2000Q4,13360.878723230067,13314.797655691355,46.08106753871289,1.0,0,0.0,0.0,0,1,0,0,0,0,0
2001Q1,13439.475745223182,13360.878723230067,78.59702199311505,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2001Q2,13524.986026842425,13439.475745223182,85.51028161924296,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2001Q3,13584.848557717183,13524.986026842425,59.862530874757795,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2001Q4,13647.43279166775,13584.848557717183,62.58423395056707,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2002Q1,13727.27653298412,13647.43279166775,79.84374131637014,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2002Q2,13793.971714483638,13727.27653298412,66.69518149951728,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2002Q3,13864.291484958962,13793.971714483638,70.31977047532382,1.0,0,0.0,0.0,0,0,0,0,0,0,0
