Quarter,GDPC1,Gdpc1_shift,GDP_Diff,Recession_Sign,Recession_start,Second_Quarter,Third_Quarter,Recession_1,recession_end_1,Recession_2,Forth_Quarter,Fifth_Quarter,Sixth_Quarter,Final_Recession
1980Q4,6735.726821252512,,,,0,,,0,1,0,0,0,0,0
1981Q1,6624.9000385996,6735.726821252512,-110.8267826529127,-1.0,0,0.0,,0,1,0,0,0,0,0
1981Q2,6522.8960897467305,6624.9000385996,-102.00394885286914,-1.0,1,0.0,0.0,1,1,1,0,0,0,1
1981Q3,6626.972669812567,6522.8960897467305,104.07658006583642,1.0,0,1.0,0.0,1,1,1,1,0,0,1
1981Q4,6601.978994869149,6626.972669812567,-24.993674943418227,-1.0,0,0.0,1.0,1,1,1,1,1,0,1
1982Q1,6473.096487697459,6601.978994869149,-128.8825071716892,-1.0,1,0.0,0.0,1,1,1,1,1,1,1
1982Q2,6501.219091705791,6473.096487697459,28.12260400833111,1.0,0,1.0,0.0,1,1,1,1,1,1,1
1982Q3,6590.880343131198,6501.219091705791,89.6612514254075,1.0,0,0.0,1.0,1,1,1,1,1,1,1
1982Q4,6949.833929953799,6590.880343131198,358.9535868226012,1.0,0,0.0,0.0,0,0,0,0,0,0,0
1983Q1,7197.135339005158,6949.833929953799,247.30140905135886,1.0,0,0.0,0.0,0,0,0,0,0,0,0
