Quarter,GDPC1,Gdpc1_shift,GDP_Diff,Recession_Sign,Recession_start,Second_Quarter,Third_Quarter,Recession_1,recession_end_1,Recession_2,Forth_Quarter,Fifth_Quarter,Sixth_Quarter,Final_Recession
2023Q1,20594.14938083351,,,,0,,,0,1,0,0,0,0,0
2023Q2,20670.318232563044,20594.14938083351,76.16885172953334,1.0,0,0.0,,0,1,0,0,0,0,0
2023Q3,20792.09801632679,20670.318232563044,121.77978376374449,1.0,0,0.0,0.0,0,1,0,0,0,0,0
2023Q4,20883.138768965888,20792.09801632679,91.04075263909908,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2024Q1,20929.572650762213,20883.138768965888,46.433881796325295,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2024Q2,21018.050902882944,20929.572650762213,88.47825212073076,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2024Q3,21134.345146514752,21018.050902882944,116.29424363180806,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2024Q4,21220.893249357236,21134.345146514752,86.54810284248379,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2025Q1,21298.28826027799,21220.893249357236,77.39501092075443,1.0,0,0.0,0.0,0,0,0,0,0,0,0
2025Q2,21387.25698400874,21298.28826027799,88.96872373075166,1.0,0,0.0,0.0,0,0,0,0,0,0,0
