DATE,PRICE ,RETURN
#NAME?,17.66,#REF!
1/3/28,17.76,0.005662514
1/4/28,17.72,-0.002252252
1/5/28,17.55,-0.009593679
1/6/28,17.66,0.006267806
1/9/28,17.5,-0.009060023
1/10/28,17.37,-0.007428571
1/11/28,17.35,-0.00115141
1/12/28,17.47,0.006916427
1/13/28,17.58,0.006296508
1/16/28,17.29,-0.016496018
1/17/28,17.3,0.000578369
1/18/28,17.26,-0.002312139
1/19/28,17.38,0.006952491
1/20/28,17.48,0.00575374
1/23/28,17.64,0.009153318
1/24/28,17.71,0.003968254
1/25/28,17.52,-0.010728402
1/26/28,17.63,0.006278539
1/27/28,17.69,0.00340329
1/30/28,17.49,-0.011305822
1/31/28,17.57,0.004574042
2/1/28,17.53,-0.002276608
2/2/28,17.63,0.005704507
2/3/28,17.4,-0.013045944
2/6/28,17.45,0.002873563
2/7/28,17.44,-0.000573066
2/8/28,17.49,0.002866972
2/9/28,17.55,0.003430532
2/10/28,17.54,-0.000569801
2/14/28,17.44,-0.005701254
2/15/28,17.4,-0.002293578
2/16/28,17.35,-0.002873563
2/17/28,17.04,-0.017867435
2/20/28,16.95,-0.00528169
2/21/28,17.11,0.009439528
2/23/28,17.13,0.001168907
2/24/28,17.18,0.002918856
2/27/28,17.11,-0.004074505
2/28/28,17.16,0.002922268
2/29/28,17.26,0.005827506
3/1/28,17.3,0.002317497
3/2/28,17.3,0
3/5/28,17.57,0.015606936
3/6/28,17.67,0.00569152
3/7/28,17.58,-0.005093379
3/8/28,17.64,0.003412969
3/9/28,17.93,0.016439909
3/12/28,18,0.003904071
3/13/28,17.92,-0.004444444
3/14/28,17.93,0.000558036
3/15/28,18.07,0.007808143
3/16/28,18.26,0.010514665
3/19/28,18.36,0.005476451
3/20/28,18.46,0.005446623
3/21/28,18.65,0.010292524
3/22/28,18.6,-0.002680965
3/23/28,18.78,0.009677419
3/26/28,19.05,0.014376997
3/27/28,18.94,-0.005774278
3/28/28,18.89,-0.002639916
3/29/28,18.95,0.003176284
3/30/28,19.28,0.017414248
4/2/28,18.91,-0.019190871
4/3/28,19.02,0.005817028
4/4/28,18.99,-0.001577287
4/5/28,19.23,0.012638231
4/9/28,19.27,0.002080083
4/10/28,19.1,-0.008822003
4/11/28,19.44,0.017801047
4/12/28,19.41,-0.00154321
4/13/28,19.73,0.016486347
4/16/28,19.68,-0.002534212
4/17/28,19.52,-0.008130081
4/18/28,19.52,0
4/19/28,19.63,0.005635246
4/20/28,19.34,-0.014773306
4/23/28,19.15,-0.009824199
4/24/28,19.25,0.005221932
4/25/28,19.33,0.004155844
4/26/28,19.47,0.007242628
4/27/28,19.68,0.010785824
4/30/28,19.75,0.003556911
5/1/28,19.78,0.001518987
5/2/28,19.83,0.002527806
5/3/28,19.93,0.005042864
5/4/28,20.24,0.015554441
5/7/28,20.41,0.008399209
5/8/28,20.27,-0.006859383
5/9/28,20.24,-0.00148002
5/10/28,20.21,-0.001482213
5/11/28,20.36,0.007422068
5/14/28,20.44,0.003929273
5/15/28,20.39,-0.002446184
5/16/28,20.05,-0.016674841
5/17/28,20.12,0.003491272
5/18/28,19.92,-0.009940358
5/21/28,19.63,-0.014558233
5/22/28,19.36,-0.013754457
5/23/28,19.75,0.020144628
5/24/28,19.87,0.006075949
5/25/28,19.9,0.001509814
5/28/28,19.57,-0.016582915
5/29/28,19.82,0.012774655
5/31/28,20,0.009081736
6/1/28,20.07,0.0035
6/4/28,19.8,-0.013452915
6/5/28,19.85,0.002525253
6/6/28,19.66,-0.009571788
6/7/28,19.61,-0.002543235
6/8/28,19.37,-0.012238654
6/11/28,18.68,-0.035622096
6/12/28,18.34,-0.018201285
6/13/28,18.89,0.029989095
6/14/28,19.05,0.00847009
6/15/28,18.74,-0.016272966
6/18/28,18.4,-0.01814301
6/19/28,18.34,-0.00326087
6/20/28,18.57,0.012540894
6/21/28,18.56,-0.000538503
6/22/28,18.54,-0.001077586
6/25/28,18.47,-0.00377562
6/26/28,18.68,0.011369789
6/27/28,18.86,0.009635974
6/28/28,19.07,0.011134677
6/29/28,19.14,0.003670687
7/2/28,18.98,-0.008359457
7/3/28,19.29,0.016332982
7/5/28,19.48,0.009849663
7/6/28,19.39,-0.004620123
7/9/28,19.46,0.003610108
7/10/28,19.43,-0.001541624
7/11/28,18.95,-0.024704066
7/12/28,18.81,-0.007387863
7/13/28,18.96,0.007974482
7/16/28,18.7,-0.01371308
7/17/28,18.8,0.005347594
7/18/28,19.03,0.012234043
7/19/28,18.99,-0.002101944
7/20/28,19.03,0.002106372
7/23/28,19.12,0.004729375
7/24/28,19.09,-0.001569038
7/25/28,19.2,0.005762179
7/26/28,19.24,0.002083333
7/27/28,19.42,0.009355509
7/30/28,19.47,0.002574665
7/31/28,19.43,-0.002054443
8/1/28,19.42,-0.000514668
8/2/28,19.33,-0.004634398
8/3/28,19.36,0.001551992
8/6/28,19.58,0.011363636
8/7/28,19.49,-0.004596527
8/8/28,19.25,-0.012314007
8/9/28,19.3,0.002597403
8/10/28,19.25,-0.002590674
8/13/28,19.29,0.002077922
8/14/28,19.13,-0.008294453
8/15/28,19.47,0.017773131
8/16/28,19.61,0.00719055
8/17/28,19.64,0.001529832
8/20/28,19.77,0.006619145
8/21/28,20.02,0.012645422
8/22/28,20,-0.000999001
8/23/28,20.02,0.001
8/24/28,20.34,0.015984016
8/27/28,20.38,0.001966568
8/28/28,20.54,0.007850834
8/29/28,20.58,0.00194742
8/30/28,20.61,0.001457726
8/31/28,20.87,0.012615235
9/4/28,20.97,0.004791567
9/5/28,21.07,0.004768717
9/6/28,20.94,-0.00616991
9/7/28,21.09,0.007163324
9/10/28,20.92,-0.008060692
9/11/28,21.08,0.007648184
9/12/28,21.16,0.003795066
9/13/28,21.14,-0.00094518
9/14/28,21.14,0
9/17/28,21.33,0.008987701
9/18/28,21.18,-0.007032349
9/19/28,21.18,0
9/20/28,21.22,0.001888574
9/21/28,21.36,0.006597549
9/24/28,21.43,0.003277154
9/25/28,21.41,-0.000933271
9/26/28,21.4,-0.000467071
9/27/28,21.13,-0.012616822
9/28/28,21.14,0.000473261
10/1/28,21.36,0.010406812
10/2/28,21.26,-0.004681648
10/3/28,21.19,-0.003292568
10/4/28,21.26,0.003303445
10/5/28,21.22,-0.001881468
10/8/28,21.11,-0.005183789
10/9/28,21.18,0.003315964
10/10/28,21.41,0.010859301
10/11/28,21.51,0.004670715
10/15/28,21.65,0.006508601
10/16/28,21.72,0.003233256
10/17/28,21.79,0.003222836
10/18/28,21.84,0.002294631
10/19/28,21.96,0.005494505
10/22/28,21.81,-0.006830601
10/23/28,21.95,0.006419074
10/24/28,21.99,0.001822323
10/25/28,21.91,-0.003638017
10/26/28,21.65,-0.011866728
10/29/28,22,0.016166282
10/30/28,21.76,-0.010909091
10/31/28,21.68,-0.003676471
11/1/28,21.99,0.014298893
11/2/28,21.95,-0.001819009
11/5/28,22.24,0.013211845
11/6/28,22.5,0.011690647
11/8/28,22.39,-0.004888889
11/9/28,22.55,0.007146047
11/12/28,22.84,0.01286031
11/13/28,22.91,0.003064799
11/14/28,22.91,0
11/15/28,23.03,0.005237887
11/16/28,23.37,0.014763352
11/19/28,23.37,0
11/20/28,23.57,0.00855798
11/21/28,23.22,-0.014849385
11/22/28,23.52,0.012919897
11/23/28,23.7,0.007653061
11/26/28,23.8,0.004219409
11/27/28,23.91,0.004621849
11/28/28,24.19,0.011710581
11/30/28,24.28,0.003720546
12/3/28,23.85,-0.017710049
12/4/28,23.91,0.002515723
12/5/28,23.81,-0.00418235
12/6/28,22.91,-0.037799244
12/7/28,22.36,-0.024006984
12/10/28,22.31,-0.002236136
12/11/28,22.74,0.019273868
12/12/28,22.52,-0.009674582
12/13/28,22.48,-0.001776199
12/14/28,22.53,0.002224199
12/17/28,22.44,-0.003994674
12/18/28,22.7,0.011586453
12/19/28,22.98,0.012334802
12/20/28,23.07,0.003916449
